setting_id,user_id,risk_level,notification_enabled,investment_experience,preferred_sectors,investment_goal
84,84,안정형,True,5년 미만,에너지,안정적보존
54,54,중립형,False,1년 미만,소비재,안정적보존
71,71,중립형,True,1년 미만,혼합,장기성장
46,46,중립형,True,5년 미만,기술주,배당수익
45,45,중립형,False,1년 미만,혼합,장기성장
40,40,중립형,False,10년 미만,금융주,배당수익
23,23,공격형,True,5년 미만,에너지,장기성장
81,81,안정형,True,10년 미만,혼합,단기수익
11,11,중립형,False,10년 미만,기술주,장기성장
1,1,공격형,True,10년 미만,소비재,단기수익
19,19,중립형,False,1년 미만,기술주,단기수익
31,31,안정형,False,10년 미만,헬스케어,배당수익
74,74,공격형,True,10년 미만,혼합,배당수익
34,34,중립형,True,1년 미만,헬스케어,안정적보존
91,91,중립형,True,1년 미만,기술주,배당수익
5,5,공격형,True,1년 미만,금융주,장기성장
77,77,공격형,False,10년 미만,소비재,장기성장
78,78,중립형,False,5년 미만,소비재,장기성장
13,13,안정형,False,1년 미만,혼합,장기성장
32,32,중립형,True,1년 미만,기술주,배당수익
56,56,중립형,False,1년 미만,금융주,단기수익
89,89,중립형,False,10년 미만,금융주,배당수익
27,27,안정형,True,1년 미만,헬스케어,장기성장
43,43,공격형,True,10년 미만,금융주,장기성장
70,70,공격형,False,1년 미만,소비재,안정적보존
16,16,공격형,False,10년 미만,기술주,단기수익
41,41,안정형,True,10년 미만,기술주,안정적보존
97,97,중립형,False,10년 미만,금융주,안정적보존
10,10,안정형,True,1년 미만,에너지,장기성장
73,73,안정형,True,5년 미만,소비재,장기성장
12,12,안정형,False,10년 미만,기술주,장기성장
48,48,중립형,False,5년 미만,헬스케어,장기성장
86,86,중립형,True,10년 미만,헬스케어,안정적보존
29,29,안정형,True,5년 미만,에너지,안정적보존
94,94,중립형,False,10년 미만,기술주,단기수익
6,6,안정형,False,5년 미만,혼합,배당수익
67,67,안정형,False,5년 미만,헬스케어,단기수익
66,66,안정형,True,1년 미만,기술주,단기수익
36,36,공격형,True,5년 미만,헬스케어,안정적보존
17,17,공격형,True,10년 미만,에너지,단기수익
